p1,p2,p3,n1,n2,n3
0.019419,0.025989,0.029976,0.026392,0.03344,0.033272
0.025989,0.029976,0.026392,0.03344,0.033272,0.034229
0.029976,0.026392,0.03344,0.033272,0.034229,0.0296
0.026392,0.03344,0.033272,0.034229,0.0296,0.0318
0.03344,0.033272,0.034229,0.0296,0.0318,0.031138
0.033272,0.034229,0.0296,0.0318,0.031138,0.031048
0.034229,0.0296,0.0318,0.031138,0.031048,0.030351
0.0296,0.0318,0.031138,0.031048,0.030351,0.027999
0.0318,0.031138,0.031048,0.030351,0.027999,0.030436
0.031138,0.031048,0.030351,0.027999,0.030436,0.032311
0.031048,0.030351,0.027999,0.030436,0.032311,0.033036
0.030351,0.027999,0.030436,0.032311,0.033036,0.032645
0.027999,0.030436,0.032311,0.033036,0.032645,0.026577
0.030436,0.032311,0.033036,0.032645,0.026577,0.026196
0.032311,0.033036,0.032645,0.026577,0.026196,0.029509
0.033036,0.032645,0.026577,0.026196,0.029509,0.026995
0.032645,0.026577,0.026196,0.029509,0.026995,0.027862
0.026577,0.026196,0.029509,0.026995,0.027862,0.023126
0.026196,0.029509,0.026995,0.027862,0.023126,0.024948
0.029509,0.026995,0.027862,0.023126,0.024948,0.022082
0.026995,0.027862,0.023126,0.024948,0.022082,0.030463
0.027862,0.023126,0.024948,0.022082,0.030463,0.024161
0.023126,0.024948,0.022082,0.030463,0.024161,0.027986
0.024948,0.022082,0.030463,0.024161,0.027986,0.024362
0.022082,0.030463,0.024161,0.027986,0.024362,0.023485
0.030463,0.024161,0.027986,0.024362,0.023485,0.027063
0.024161,0.027986,0.024362,0.023485,0.027063,0.027628
0.027986,0.024362,0.023485,0.027063,0.027628,0.026233
0.024362,0.023485,0.027063,0.027628,0.026233,0.023448
0.023485,0.027063,0.027628,0.026233,0.023448,0.029109
0.027063,0.027628,0.026233,0.023448,0.029109,0.027784
0.027628,0.026233,0.023448,0.029109,0.027784,0.024236
0.026233,0.023448,0.029109,0.027784,0.024236,0.027833
0.023448,0.029109,0.027784,0.024236,0.027833,0.022955
0.029109,0.027784,0.024236,0.027833,0.022955,0.024046
0.027784,0.024236,0.027833,0.022955,0.024046,0.027372
0.024236,0.027833,0.022955,0.024046,0.027372,0.031428
0.027833,0.022955,0.024046,0.027372,0.031428,0.025716
0.022955,0.024046,0.027372,0.031428,0.025716,0.034927
0.024046,0.027372,0.031428,0.025716,0.034927,0.036522
0.027372,0.031428,0.025716,0.034927,0.036522,0.032718
0.031428,0.025716,0.034927,0.036522,0.032718,0.036818
0.025716,0.034927,0.036522,0.032718,0.036818,0.035281
